INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
INFO:root:Начало игры-2022-11-19 02:45:40.450857-536297652-Andrey-[1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 0, '❌']
INFO:root:Конец игры-2022-11-19 02:45:40.840010-818719233-Вероника-['❌', '⭕', '❌', '❌', '⭕', '❌', '⭕', '❌', '⭕', 0, 9, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:41.395206-536297652-Andrey-['❌', 2, 3, 4, 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:42.123293-536297652-Andrey-['❌', 2, 3, 4, 5, 6, 7, '⭕', 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:42.526741-536297652-Andrey-['❌', 2, 3, 4, '❌', 6, 7, '⭕', 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:42.989111-536297652-Andrey-['❌', 2, 3, 4, '❌', '⭕', 7, '⭕', 9, 9, 4, '❌']
INFO:root:Конец игры-2022-11-19 02:45:43.659748-536297652-Andrey-['❌', 2, 3, 4, '❌', '⭕', 7, '⭕', '❌', '❌', 5, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:49.054136-536297652-Andrey-[1, 2, 3, '❌', 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:49.555321-536297652-Andrey-[1, 2, 3, '❌', 5, 6, '⭕', 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:50.540730-536297652-Andrey-['❌', 2, 3, '❌', 5, 6, '⭕', 8, 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:50.863572-536297652-Andrey-['❌', 2, 3, '❌', '⭕', 6, '⭕', 8, 9, 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:51.228535-536297652-Andrey-['❌', 2, 3, '❌', '⭕', 6, '⭕', '❌', 9, 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 02:46:09.778932-818719233-Вероника-[1, '❌', 3, 4, 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:46:12.339066-818719233-Вероника-[1, '❌', 3, 4, '⭕', 6, 7, 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:46:13.434845-818719233-Вероника-['❌', '❌', 3, 4, '⭕', 6, 7, 8, 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:46:14.807480-818719233-Вероника-['❌', '❌', 3, 4, '⭕', 6, '⭕', 8, 9, 9, 4, '❌']
INFO:root:Конец игры-2022-11-19 02:46:15.754236-818719233-Вероника-['❌', '❌', '❌', 4, '⭕', 6, '⭕', 8, 9, '❌', 5, '❌']
INFO:root:Ход в игре-2022-11-19 02:46:17.355772-818719233-Вероника-[1, 2, 3, '❌', 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:46:18.929775-818719233-Вероника-[1, 2, 3, '❌', '⭕', 6, 7, 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:46:21.436024-818719233-Вероника-[1, '❌', 3, '❌', '⭕', 6, 7, 8, 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:46:22.364845-818719233-Вероника-[1, '❌', 3, '❌', '⭕', 6, 7, '⭕', 9, 9, 4, '❌']
